,header,sub_header,text_content,author
10,Så modig ska du inte behöva vara,QX-galans vinnare visar vad som står på spel,"
Mod kan komma i olika former. Det kan komma i overklig, storfilmsvärdig form som hos svenske Patrik Hermansson. Att som homosexuell man, därtill feminist och antifascist, infiltrera våldsamma nazister och extrema rasister i USA och England kräver enorm styrka. Försedd med dold kamera umgicks han med ledare för vit makt-rörelsen, medverkade i demonstrationer, mötte ledande förintelseförnekare och bevittnade hur en högerextremist körde ihjäl en antirasistisk demonstrant i Charlottesville. 
Hans rapport, och dokumentären “Spion i extremhögern”, gav en sällsynt inblick i den nynazistiska rörelsen, och har uppmärksammats över hela världen. Det är en insats som krävt sitt pris. Patrik Hermansson lever i dag med skyddad identitet.
Stort mod kan också vara att våga vara sig själv. Svenska näringslivstoppen Caroline Farberger hette tidigare Carl. I höstas genomgick hon en könskorrigering och berättade öppet om sin resa. Caroline Farberger, vd för Ica Försäkring, var den första toppchef inom svenskt näringsliv som tagit det klivet inför allmänhetens ögon. ""Jag kände att jag var tvungen att leva mitt liv som den jag är, oavsett vad konsekvenserna skulle bli på olika delar av mitt liv"", sa hon till DI Weekend.Både Patrik Hermansson och Caroline Farberger fick pris under gårdagens QX Gaygala, och hyllades med stående ovationer. Deras mod är extra viktigt just nu.Över världen sveper en högerpopulistisk våg som på många sätt gör det farligare och svårare för hbtq-gruppen. I USA utestängs nu transpersoner från att tjänstgöra i militären. President Donald Trump har utmålat öppna transpersoner i militären som en risk.
Brasilien är ett av världens farligaste länder för hbtq-personer, och rädslan har ökat med tillträdet av högerextreme presidenten Jair Bolsonaro. “Ingen far skulle vara stolt över att ha en son som är homosexuell”, har han sagt.
I Sverige räcker det att se de årliga Prideparaderna för att få bevis på att det påståendet är lögn.
Men inte heller i Sverige är rörelsen mot öppenhet självklar. Sverige utvisar öppet homosexuella till länder där det är livsfarligt att älska en människa av samma kön. I det senaste valet nådde Sverigedemokraterna hela 17 procent. Ett parti med rötterna i vit makt-rörelsen, som öppet är emot regnbågsfamiljer och som inte stöttat en enda hbtq-reform i riksdagen.Åt vilket håll vill vi gå?Kampen för människors rättigheter handlar också om att minska behovet av en viss form av mod. 
Modet att vara sig själv.",PERNILLA ERICSON
11,Det börjar med att han kallar dig äcklig,Våga se psykisk misshandel,"
Deras relation inleddes med himlastormande uppvaktning, på ett sätt som Fia aldrig upplevt förut. 
Ingen var som hon, sa han. Så fin, så sexig, så klok, så ljuvlig. Fia hade aldrig varit så kär. De flyttade ihop. 
Första stöten kom i form av svartsjuka. “Alla såg ju att han flirtade med dig, varför stod du kvar?”. Hon skyndade sig att be om ursäkt. Han började visa en lättirriterad sida som hon inte sett förut. Relationen blev gradvis till en försiktig balansgång. Det fanns så mycket som kunde göra honom arg. 
Fia balanserade vidare, hoppades komma tillbaka till det himlastormande tillståndet. Då och då lyste solen mot henne. Men däremellan blev det allt hårdare i tongångarna. Han hade så många synpunkter. På hennes vänner, hennes föräldrar. Hon var slarvig, lämnade spaghetti i vasken. Hon kunde inte göra något rätt på jobbet. Hon var en rätt misslyckad typ. Förstod hon inte att de skrattade åt henne? Varför lät hon så mycket när hon åt? Det var äckligt. Han kallade henne äcklig. 
Fia drog sig undan. Han blev ju så irriterad när hon träffade vännerna, och kunde ringa flera gånger under en kompisträff. Om hon bara gjorde rätt, så skulle allt bli bra. Föräldrarna var oroliga, men Fia blev allt svårare att få kontakt med. Hon blev tystare. 
Hon var som en knarkare, som fått den första fixen av stormförälskelse, och kämpade för att få den igen. När det första slaget kom, så grät han och bad om ursäkt. Berättade om pappan som slog under uppväxten. Fia förlät. 
Allt var vackert igen ett tag. Sedan kom nästa slag.
Just nu kämpar min vän för att få Fia att en gång för alla lämna mannen. Han gråter, säger att han har sökt hjälp. Att han har insett att han gjort fel. Avtrycket i Fia sitter så hårt, det är som att min vän försöker nå fram till en missbrukare. Fia gråter, vill hjälpa honom, kan tänka sig att ses och prata. 
I filmer är ofta det första tecknet på misshandel en blåtira, som hjälpligt sminkas över. Men det börjar sällan där. 
18 procent av de som utsatts för misshandel under 2016 anger att gärningspersonen var närstående, i den Nationella trygghetsundersökningen. Det är stor skillnad mellan könen. Att gärningspersonen är en närstående gäller för kvinnor i 40 procent av händelserna, motsvarande andel för män är 3 procent. 
Av dem som utsatts för fysiskt våld blev närmare 85 procent även utsatta för psykiskt våld, enligt Brås nationella kartläggning av brott i nära relationer. Det hänger ihop. Systematiska kränkningar i syfte att bryta ner, att inskränka en människas frihet. I en svensk studie rörande våldsutsatta kvinnor hade 12 av 14 tydliga posttraumatiska stressymtom. Vi frågar oss hur någon kan stanna i en relation där partnern slår. Svaret är att det onormala långsamt blir normalt. 
Det är dags att införa nya brott som bättre täcker in psykisk misshandel. Eftersom människor så ofta kommunicerar digitalt finns en bra källa till bevis. Riktade stödinsatser gör skillnad, men också satsningar på information, i allt från skolor till vården till föreningsverksamhet. Vi måste alla bli medvetna om varningstecknen. 
Partnern går fort fram, rusar in i relationen, är kontrollerande och inte sällan svartsjuk. Din vän är frånvarande. Verkar disträ. Försvinner ur det sociala livet, blir allt svårare att få kontakt med. 
Kanske är din vän i fara. Det finns bara ett sätt att ta reda på det.

Fotnot: Fias namn är fingerat.",PERNILLA ERICSON
12,Skyddsnätet blir en fälla,Övergrepp på HVB-hem,"
Amandas uppväxt har präglats av familjehemsplaceringar, ungdomspsykiatri, droger och ätstörningar. Hon kom till ett HVB-hem för att bli fri från drogerna, men möttes av allt annat än en trygg miljö, berättar hon för Veckorevyn. Flera av de unga använde droger på boendet. Hon slog larm, men utan att få gehör.Av sin terapeut Mats fick hon hjälp och stöd, men med tiden även pengar, uppger hon. Gränser försköts gradvis. Amanda var beroende av Mats välvilja.– Sen började det bli lite för mycket kramar och konstiga smekningar på ryggen och sånt, säger Amanda.
Hon beskriver en situation där terapeuten lägger sig intill henne i sängen, med tydligt stånd. Tidningen har tagit del av ett tiotal sms där Mats bland annat skriver att han älskar henne. Amanda, som egentligen heter något annat, anmälde både terapeuten och HVB-hemmet. IVO lade ner utredningen. Men Amanda är inte ensam.Minst 106 anmälningar om sexuellt utnyttjande, övergrepp och grova våldtäkter på HVB-hem har kommit in under de senaste fyra åren, visar Veckorevyns kartläggning. Den yngsta drabbade var fyra år. I de allra flesta fall är den anmälda förövaren någon som också bor på boendet, men många gånger har anmälan gällt personal på boendet. Det stannar inte där.
Veckorevyns granskning visar även att ett bolag som driver tre HVB-hem i Malmö får fortsätta trots larm om våldtäkter, samt att flera personer inom bolaget varit involverade i grov brottslighet. Nu kallar socialminister Lena Hallengren till möte med IVO och Socialstyrelsen, men problemen är inte nya.Merparten av HVB-hemmen drivs i privat regi. Under flyktingströmmen 2015 hamnade många ensamkommande i HVB-hem, och så väl kostnader som stora brister väckte kritik. 2016 avslöjades fusk med tillstånden, och att hemmen inte inspekteras lika ofta som förr.
Skärpta krav på ägare och ledning är ett sätt att komma åt problemet, tätare inspektioner är ett annat. Personalen måste ha relevant utbildning. 
HVB-hemmen ska vara ett skyddsnät för de mest utsatta. Det som beskrivs är raka motsatsen. Framför allt: när de drabbade orkar slå larm måste det tas på allvar.",PERNILLA ERICSON
13,Sötchocken hintar om en valkampanj,Polerad Michelle Obama i Globen ,"
Scensamtalet föregås av en introduktion som förmodligen går hem i USA, men som åtminstone ger mig frossbrytningar av genans. Den mässande rösten, plattityderna, de glossiga bilderna på storskärmarna. Den magiska sannsagan om advokaten och USA:s tidigare första dam inleder ""Becoming: An intimate conversation with Michelle Obama”, baserad på den självbiografiska boken. Det är som att bli serverad en överfull godispåse.
Så äntrar Michelle Obama scenen. Det strålar om henne, karisman går att ta på, den fyller upp Globen. För kvinnor över hela världen har hon blivit en viktig förebild, en ikon, och det hörs på jublet som möter henne i den närapå fullsatta arenan.
Vi får berättelsen om hur hon bit för bit vågade ta plats, hur uppmuntran hemifrån blev avgörande. Michelle Obama kommer från ett familjeled av före detta slavar, är uppvuxen i ett arbetarhem. Hon berättar om sina erfarenheter av White flight – ”När de bruna människorna flyttade in i vita områden så flyttade de vita människorna därifrån.”
Kampen för att ta sig till de fina lärosätena Princeton och Harvard – ”Jag var för envis för att sluta försöka” – och hur ensam hon inledningsvis kände sig. Men också att hennes syn på de rika, privilegierade kurskamraterna gradvis förändrades; ”Det är du som inte hör hemma här, någon köpte din plats.”
Djupare än så borrar hon inte i hur klass, etnicitet och bakgrund fortfarande är en enorm vattendelare i USA, där man ligger miltals efter länder med moderna sociala reformer.
Det är på hela taget en mycket försiktig tillställning. Här byggs bara popularitet, och då får inget riktigt skava. När hon får en fråga om brexit via sociala medier – antagligen godkänd i flera led av hennes pr-team – så nämner hon inte ens Storbritannien. Inte med ett ord. Hon talar bara om vikten av att rösta, att demokratin rör sig vidare utan dig.
Faktum är att hela framträdandet är så polerat att det i sig förstärker misstanken om en valsatsning. Förmodligen inte nu, men inför 2024, när Donald Trump senast lämnar makten. Michelle Obamas välkända fras ”When they go low, we go high” lär inte utmärka den kommande valrörelsen. Ingen president har tidigare attackerat sina motståndare så kränkande och grovt som Donald Trump gör, och den hårdföra tonen återfinns i politiken. 
USA:s säkerhetsminister Kirstjen Nielsen tvingades nyligen lämna sin post, för att Trump ansåg att hon inte var extrem nog i sina metoder för att stoppa invandring. Detta trots historiskt hård invandringspolitik. Spädbarn har ryckts ifrån sina föräldrar vid gränsen, familjer har bombarderats med tårgas. Presidentkandidaten Bernie Sanders kallar öppet Trump för rasist.
På scenen i Globen går det från godispåse till ren sockervadd. Michelle Obama är precis så personlig som krävs, och mer peppande än en livscoach. Tro på dig själv. Du kan göra det. Förändra din inre röst som säger att du inte kan.
De flesta livscoacher har inte överkommit de hinder som hon gjort, på många sätt är hon historisk, så jag kan unna henne att låta som en guru på en bergstopp. Men de som förmodligen mest behövt höra att resan går att göra är inte där. Merparten av biljetterna för att se Michelle Obama kostar uppemot 3 000 kronor, VIP-biljetterna kostar hela 10 000. Det för tankarna till de svindyra bjudningarna i Vita huset, som bara de rikaste har tillträde till.
Michelle Obama dansar ut. Den här tillrättalagda sötchocken kan i sig vara en hint om en framtida presidentkampanj. Förhoppningsvis framträder då en betydligt intressantare politiker.",PERNILLA ERICSON
14,Vi överlever inte artdöden,”Läget är mycket allvarligt”,"
Hur många arter kan vi utrota, utan att utrota oss själva?
Det är en fråga som väcks med rapporten om den biologiska mångfalden, som släpps i dag från expertpanelen IPBES. Mellan en halv miljon och en miljon växt- och djurarter riskerar att utplånas, slår man fast. Rapporten har tagit tre år att sammanställa och bygger på 15 000 forskningsbidrag. 
En arts död påverkar hela kedjan i naturen. Vi har redan nåtts av larmen om massdöden för de pollinerande insekterna, som fjärilar och honungsbin. 
Rapporten beskriver bland annat hotet mot grod-och kräldjur, korallrev och över en tredjedel av alla marina däggdjur. Antalet arter minskar nu mellan 10 och 100 gånger fortare jämfört med 1970.
”Läget är mycket allvarligt”, konstaterar rapportförfattarna.
40 procent av världens insektsarter är på nedgång, enligt en tidigare publicerad forskningsgenomgång i tidskriften Biological Conservation. Insektsdöden innebär en katastrof för hela ekosystemet, eftersom småkrypen är en del av näringskedjan för mängder av andra arter som föda och har huvudrollen vid pollinering. Det kommer att spela enormt stor roll för möjligheten att odla mat. 
Den globala uppvärmningen är en viktig faktor i att arterna dör. Men framför allt handlar det om hur marken brukas, om avskogning, överfiskning, köttindustrin, om jakt och föroreningar. Världens fokus på ekonomisk tillväxt pekas ut som en riskfaktor.
Vi har fått ett industrijordbruk på högtryck i världen. Syntetiska gödningsmedel och bekämpningsmedel som används angriper det centrala nervsystemet hos insekter. Avtrycket av gifterna stannar inte på åkrarna, utan går även att finna i skyddade naturområden. Insekter och fågelarter drabbas.
Träd och blommande buskar runt åkrar försvinner, och landskap som ser ut som avtorkade bordsytor uppstår. 
Vi vet redan att vi måste bromsa den globala uppvärmningen, men det stannar inte där.
Ekologisk odling gör skillnad, visar studier. Satsningar inom lantbruket på naturbetesmarker och blommande remsor vid åkrar får effekt, samt självklart att länder investerar i alla former av naturvård. 
Utfiskningen och jakten på hotade arter är enorma problem, och måste begränsas på global nivå. Föroreningarna måste bekämpas.
Framför allt: Europa och övriga världen måste hitta en gemensam strategi för att motverka artdöden. Det bör vara en av huvudfrågorna inför EU-valet.
När andra arter försvinner så drabbar det även mänskligt liv.",PERNILLA ERICSON
15,Hyrorna ska höjas med 50 procent,,"
31 procent högre hyror i Halmstad. 24 procent högre hyror i Helsingborg.Det skulle bli effekten om så kallade marknadshyror infördes i Sverige. Detta enligt en ny rapport som konsultfirman Ramböll har tagit fram på uppdrag av Hyresgästföreningen.
Här kanske vi måste stanna upp och säga något om vad marknadshyror är för något.
I Sverige får inte fastighetsägare sätta hyror hur som helst. I stället förhandlar privata och offentliga fastighetsägare med Hyresgästföreningen om hyresnivån. Poängen med systemet är att ingen hyresgäst ska behöva betala en oskälig hyra. Det är en form av konsumentskydd som tar tillvara de intressen den svagare parten – den boende – har.
Att införa marknadshyror är att avskaffa hyresgästernas gemensamma rätt till förhandlingar. Makten över hyrorna förflyttas från ett förhandlingssystem med konsumentmakt till fastighetsägarna.
Och det skulle alltså göra boendet dyrare för en massa svenskar. I stockholmsstadsdelen Spånga-Tensta, där Järvaveckan går av stapeln under de kommande dagarna, skulle en tvårummare om 58 kvadrat gå från strax under 6 000 kronor i månaden till närmare 8 000 kronor. Den genomsnittliga hyresökningen för hela Stockholm beräknas bli ungefär 50 procent.
Märkligt nog tänker Moderaterna gå fram i valet med ett förslag om att införa marknadshyror och Sverigedemokraterna har också öppnat för det. Det presenteras som en modell för att lösa bostadsbristen men inte mer byggande.
 Till 2020 behöver 80 500 bostäder byggas årligen för att täcka Sveriges behov men det moderata förslaget kommer bara innebära hyreshöjningar, ökat bostadssegregation, minskat konsumtionsutrymme och en förmögenhetsöverföring från boende till fastighetsägare.
Det här är en bostadspolitik som givit upp alla ambitioner, men det är en bostadspolitik som kommer att förändra människors liv.
I dag presenterade Socialdemokraterna en stor rapport med förslag för en ny bostadspolitik. Ambitionen är lovvärd: bostadspolitiken måste åter bli en av välfärdspolitikens kärnuppgifter. Något mindre än så kan man faktiskt inte sträva efter.
Bostadsbristen finns där, byggandet minskar, hyrorna och bostadspriserna ligger på rekordnivåer och skulderna är helt vansinniga. Men vi måste fortsätta bygga och vi måste se till att vanligt folk kan efterfråga bra bostäder
Så vad föreslår Socialdemokraterna?
Att staten ska tvingas ta ökat ansvar för bostadsbyggandet genom att hjälpa kommunala och privata fastighetsbolag med finansieringen.
Att det ska instiftas en ny statlig bostadsbank för att finansiera framtida bostäder. Att hyresvärdar som hyr ut till resurssvaga grupper ska ges hyresgarantier
Ett särskilt barnbidrag ska ges till alla fram tills att de fyller 18 år Men bidraget är vikt för boendet och får inte användas förrän barnet fyllt just 18. Dessutom vill man se ett avdragsgillt bosparande för unga och ett förmånligt startlån som gör att man lättare kan köpa sin första bostad.
Man vill inrätta ett landsbygdslån så att man ska kunna bygga sig ett hus på platser där bankerna inte gärna lånar ut pengar.
Dessutom vill man se en stor utredning om hur bopolitiken ska utformas för att samhället ska hålla ihop. Och man vill se en överenskommelse om hur bostadsbeskattningen ska förändras.
Det är så klart inte ett politiskt program som löser allt. Fokuset på ägda bostäder är möjligen för stort och fokuset på allmännyttan för litet. Nog kommer det att behövas en ännu offensivare markpolitik och mindre uppmärksamhet på vad privata byggare kan tänka sig acceptera.
Men det är det mest ambitiösa och seriösa bostadspolitiska utspelet vi fått under detta valår då allt fler varnar för stigande räntor, fortsatt boprisfall och en ekonomi som saktar in. 
Följ Aftonbladet Ledare på Facebook för att diskutera vidare och hitta andra spännande ledartexter.",DANIEL SWEDIN
16,Jan Björklund riskerar att bli en svensk Cameron,,"
Vem hade kunnat tro att det skulle vara Jimmie Åkesson som skulle ge Jan Björklund en möjlighet att göra sig relevant under den här valrörelsen?
Liberalerna är ett parti som investerat allt sitt förtroendekapital i kärnkraft, kärn­ämnen, kärnvapen och en krisvaluta. Ett parti som i regeringsställning sjabblade bort svensk skola och som i opposition ägnat sig åt falang- och personstrider. Nu ska man äntligen få prata EU.
Ja, riksdagsvalet blir till och med en folkomröstning om EU, om Jan Björklund får bestämma.
Det är inte så litet talande för Liberalernas position i svensk politik. I en fråga man redan vunnit – vi är ju med i EU sedan över 20 år och stödet för det svenska medlemskapet är robust – blåser man till strid. Men mycket litet talar för att det långsiktigt kommer att vara gynnsamt för Liberalerna. 
Finns det legitima skäl att kritisera EU? Självklart. Bör vi ha en allvarlig diskussion om hur EU:s institutioner kan reformeras och demokratiseras? Självklart. Men det är inte det här som Sverigedemokraterna vill prata om. Det här är ett parti vars EU-motstånd handlar om att invandrare inte ska få komma hit. Och där har Liberalerna – med sin EU-fanatism – inte mycket att komma med. 
Ett stycke ur Björklunds tal i kväll är illustrativt för håglösheten: ”EU misslyckades med att hantera flyktingkrisen och förebygga finanskrisen 2008. Då kan vi inte samarbeta mindre framöver, utan mer."" 
Va?
Låt oss säga något om det brittiska EU-utträdet. 
Efter finanskrisen var det bara grekerna som fick se sin levnadsstandard försämras så radikalt som britterna. Lönerna för brittiska arbetare föll med fem procent mellan 2007 och 2015.  Här rullades nedskärningspolitiken ut med full kraft. Trygga jobb, tillväxt och konkurrenskraft försvann. Här har i dag allt fler människor ”enkla jobb” och  allt fler är arbetande fattiga. 
Under den brittiska folkomröstningskampanjen om EU - ledd av konservativa löne- och bidragssänkare med nedskärningspolitik som religion - fick vi se hur vreden över sakernas tillstånd riktades mot den fria rörligheten och arbetskraftsinvandringen. Människor talade om EU som en makt som ville dem illa, och om att “ta tillbaka kontrollen” från Bryssel.
Till slut lyckades kampanjen för EU-utträde etablera att Storbritannien var ett land som höll på att kollapsa under trycket av polska rörmokare och syriska flyktingar, och allt var medvetet skapat av en tysk förbundskansler.
De krafterna klarade inte Storbritanniens dåvarande EU-vänlige premiärminister David Cameron av att tämja, trots att han släppt lös dem för att blidka högern i sitt eget parti.
För Jan Björklund som  – vid sidan av sin EU-kärlek - vill se en arbetsmarknad som befolkas av fler som har enkla jobb och lägre löner kan det vara värt att tänka på. ",DANIEL SWEDIN
17,Det miljövänliga flyget är en borgerlig fantasi,,"
Det var varmt i sommar. Och enligt experter så beror den globala värmeböljan på klimatförändringarna.
Det fick SVT:s aktualitetsprogram Agenda att bjuda in till en särskild klimatdebatt i söndags. På plats i studion fanns Maria Malmer Stenergard. Hon är Moderaternas talesperson i klimatfrågor och – enligt tidningen ETC - den av partiernas klimatpolitiska talespersoner som flyger allra mest i jobbet.
Är det ett problem? Tja, om vi i Sverige ska bidra till att hindra temperaturen på jorden från att stiga mer än 2 grader måste våra utsläpp minska från dagens 11 ton till under två ton per person och år. En resa tur och retur till New York genererar ungefär 2,5 ton utsläpp av växthusgaser per person. Flyget står för en enorm del av vår individuella klimatpåverkan.
Klimatpåverkan betyder i klarspråk varmare och surare hav, minskade skördar, djurarter som dör ut, extremt väder, skogsbränder, torka. Ja, vi vet ju allt det där. Samtidigt är det många svenskar som lever livet som Malmer Stenergard och flyger som aldrig förr. Inrikesresorna ökade totalt med två procent i fjol, och utrikesresandet med åtta. På Arlanda har antalet flygresor stigit över 90 månader i rad.
Men det där har Maria Malmer Stenergards parti löst genom att föreslå att flygplanen ska tankas med biobränsle. Det är miljövänligt. Och om man till exempel flyger inrikes så finns det ett bolag som - för ett tillägg på 300 kronor - byter ut jetbränslet mot biobränsle.
Gör Malmer Stenergard det? Icke. ""Just nu går det inget flyg från där jag bor"", svarade Maria Malmer Stenegard på frågan i SVT.Det var av allt att döma trams.
Malmer Stenergard flygpendlar enligt egen utsago från Åhus till Stockholm, och enligt ETC finns det flera flygplatser i Skåne och Blekinge där flygbolag erbjuder biobränsle.
Man ska inte ljuga, men nu ska kanske inte Malmer Stenergard ha så dåligt samvete för att hon skippar biobränslet.
Beräkningar från KTH visar att klimatpåverkan inte kommer minska ens om vi ersätter allt fossilt bränsle med biobränsle. Om flygandet fortsätter öka som i dag kommer det göra lika stora skador på klimatet år 2030 som nu, på grund av så kallade höghöjdseffekter.
I vintras genomfördes den första flygningen mellan Australien och USA med ett plan som var tankat med en del biobränsle gjort på senapsfrön. För att genomföra resan krävdes över 60 hektar jordbruksmark. Det motsvarar 120 fotbollsplaner.
Om vi fortsätter flyga som nu - och tror att vi ska tanka alla plan med biobränsle - kommer det krävas att så mycket åkermark används till bränsle att det kommer tränga ut livsmedelsproduktionen. Är svältkatastrofer verkligen ett pris vi är beredda att betala för att kunna fortsätta flyga som nu?Man kan förstås producera biobränsle åt det allt mer populära flyget genom att hugga ned enorma mängder skog och frigöra ännu mer koldioxid, men det kommer bidra till den klimatkatastrof de flesta vill undvika.
Till slut är det här vi hamnar.
 Visst är det bra med teknikoptimism, men man får inte göra sig dum i en fråga som ytterst handlar om planetens överlevnad. Vi måste faktiskt flyga mindre. Det gäller inte minst Maria Malmer Stenergard.
Följ Aftonbladet Ledare på Facebook för att diskutera vidare och hitta andra spännande ledartexter.",DANIEL SWEDIN
18,Sverige står sämre rustat för en ny kris,,"
I helgen är det tio år sedan den amerikanska investment­­banken Lehman Brothers gick i konkurs. Det brukar ses som startskottet till den senasten finanskrisen. Kraschen spred sig genom hela det globala ­kapitalets system, slog sönder banker och krossade nationers ekonomier. Det började som en bankkris orsakad av politisk naivitet, människans girighet och bristande regleringar. Det blev en efterfrågekris och en statsskuldskris.
Det var den djupaste och mest dramatiska nedgången i världsekonomin sedan 1930-ta­lets depression.
I Sverige klarade vi oss, sägs det. 100 000 svenskar förlorade förvisso jobbet, och regeringen Reinfeldt var kallsinnig. När krisen slog till var arbetsmarknadspolitiken nedrustad, ­a-kassan urholkad och beredskapen för att möta en arbetslöshetsvåg obetydlig.
En kombination av en svag krona och stora stimulanspaket i vår omvärld gjorde att krisen inte nådde till ”etniskt födda svenskar mitt i livet”, som Reinfeldt sa.
Krisavtalet mellan fack och arbetsgivare räddade jobb och industrins ständiga effektiviseringar bidrog till att vår konkurrens­kraft ändå kunde bevaras. Det, snarare än Anders Borgs påstådda briljans, var ­orsaken till att Sverige inte drogs ned i den europeiska krisen.
Kapitalismen överlevde. Och glömde. Alla de faktorer som drev fram finanskrisen - stora obalanser mellan länderna, snabbt stigande bostadspriser, tokvinster i den finansiella ekonomin och ett växande skuldberg - finns fortfarande kvar.
Ur ett svenskt perspektiv kan noteras att innan finans­krisen stod bankernas vinster för ­ungefär en tredjedel av de största börsbolagens vinster. I dag är motsvarande siffra ­nästan 50 procent.
I jämförelse med att produ­cera bilar eller stål är det i dag ännu mer lönsamt att hantera pengar och spekulera. Den rikaste tiondelen har i dag nästan lika stor del av den totala disponibla inkomsten som den halva av befolkningen som har lägst inkomst. Och de växande klyftorna ­efter krisen har haft sitt ­politiska pris.
Krishanteringen utplå­nade förtroendet för politiker och ­institutioner och över hela kontinenten firade snart extremister valframgångar. Så också i Sverige.
Strax innan valet presenterades ju forskning som ­visar att ekonomiskt missnöje efter ­finanskrisen och ”arbets­­­­linjen” drev på Sverigedemokraternas tillväxt.
I går sa riksbankschef Stefan Ingves att Sverige är mer sårbart nu än under finanskrisen.
- Man kan varna, man kan grubbla, man kan titta på grafer, man kan undra om det håller ihop.
Det kan man. Och när en regering under stort besvär nu ska sys ihop så kan man också ­undra vilken beredskap som finns mot nya otrygghetschocker.",DANIEL SWEDIN
19,En Alice Teodorescu är fler än 261 tjänstemän,Maktlystnaden gör häpnadsväckande saker med högern,"
”Hon får precis skriva vad hon vill, ordet är fritt, men att blanda in oss ÖVERLEVANDE för att försvara hennes mörkblåa åsikter, är mer än oanständigt.”
Så skriver 91-åriga Livia Fränkel på Facebook om de konvulsioner som hennes syster, Hédi Fried, gett upphov till inom delar av svensk höger.
Det handlar om att Göteborgs-Postens politiska redaktör Alice Teodorescu i en ledare kallat Förintelseöverlevande – som Livia Fränkel och Hédi Fried – för bulvaner för en vänster som inte vill se en regering där Sverigedemokraterna ges avgörande inflytande.
Frieds brott är att hon anser att SD inte är demokratiskt pålitliga och att det vore mycket illa för Sverige om borgerligheten gjorde sig beroende av dem. Hédi Fried är en människa som, för att citera Dagens Nyheters Johan Hilton, ”har gjort det till sin livsuppgift att varna för ett högerextremt idéarv och under decennier tagit sitt demokratiska ansvar för att den sortens idéer aldrig mer ska få fäste”.
Det är därför hennes varningar är så obekväma för människor som Alice Teodorescu. Hon leder en redaktion som gärna ser att Moderaterna och Kristdemokraterna styr Sverige på SD:s bajonetter. Det är därför Hédi Fried och andra som inte delar Teodorescus syn på regeringsbildningen ska stämplas ut som bulvaner – personer som utåt handlar i eget namn men som i hemlighet företräder någon annan som inte vill träda fram.
Det är en häpnadsväckande beskyllning. Men får man tro en rad högerorienterade opinionsbildare så är det reaktionerna mot Alice Teodorescus anklagelse som är det värsta. Kritiken mot Teodorescus är ”ett beteende som ligger väldigt nära den feghetskultur som följer av totalitära samhällen”, skriver Svenska Dagbladet. Högertidskriften Fokus chefredaktör Johan Hakelius tycker att Teodorescu har rätt och att Dagens Nyheter låtit Hédi Fried uttala sig om dagspolitiken är ”både osmakligt och oförsvarbart”. Kritiken kommer från ”smådiktatorer”. 
Allt detta hände alltså samma vecka som det avslöjades att 261 opolitiska tjänstemän i en skrivelse uttryckt sin oro för att en ny regering eventuellt inte skulle omfamna regeringskansliets värdegrund. Bakgrunden är känd. Partier av SD:s snitt arbetar målmedvetet med att inskränka mänskliga rättigheter när helst de kommer nära makten. Alltså vill tjänstemännen veta hur arbetsgivaren ser på lojalitetsplikten gentemot regeringen om det hamnar i konflikt med grundlagens bestämmelser om människors lika värde.
Men de här människornas yttrandefrihet var det få på högerkanten som var intresserade av att försvara.
Hur gick det till när svensk höger började tycka att 261 opolitiska tjänstemän ska hålla käft men att folk som säger emot en liberal redaktör som vill underminera Förintelseöverlevande är yttrandefrihetens dödgrävare?
Svaret är enkelt.
Det handlar om Sverigedemokraterna och synen på vilken roll de ska spela för en kommande högerregering. Fusionen mellan allmänhöger och extremhöger ska få skötas i tysthet, och några larm från Förintelseöverlevande eller tjänstemän kan då inte tillåtas ljuda.",DANIEL SWEDIN
